Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Thundurus,Thundurus,Thundurus (Therian),Thundurus (Therian),Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Zapdos,Zapdos,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Shadow Abomasnow,Powder Snow,Weather Ball Ice,40,1.4226690663295543,1.3887012651126502,1.5798108537569595,1.4885795234552563,1.5713500535161562,1.5039567333437656,1.435829938875762,1.4728657260700146,1.3859846771882152,1.4212921945587218,1.5136530119236067,1.3235885351676917,1.5118806340972533,1.4058284936637369,1.7123920012574598,1.5010253789518992,1.587399576873573,1.4171968381362579,1.4072571026003178,1.4194784864445564,1.4961168566653333,1.4110595115899314,1.693368054864945,1.5294972954900843,1.4088523260548003,1.4203902464082743,1.5172356541299952,1.5008469330281695,1.4692486303284302,1.5183467037751344,1.4118173396313873,1.4406408842563456,1.4138509091429134,1.450171125256763,1.51763767908597,1.5325879431358718,1.4350630187534867,1.4545663802035125,1.5279908634628676,1.4910554102926294,1.4407337419282742,1.4068646480255473,1.4850989837628008,1.47549420612311,1.4790284744479032,1.4570950393240985,1.476000699146373,1.497782945895838
Mega Aerodactyl,Rock Throw,Rock Slide,40,1.0,1.009027811862293,1.0250392122535075,1.0372198415116696,1.028451598457769,1.0390941043850905,1.0818073409699045,1.0993641970147403,1.0727516287382697,1.0850643736270116,1.0060429358782426,0.9862189993846388,1.0,1.005987560100695,1.0,0.9979646552926911,1.0,1.003179480663827,1.1330166822696575,1.074700204467041,0.9999999999999999,1.0025712581369048,1.0,1.0170652634091317,1.032910459238045,1.0354983236273463,1.0587909125334252,1.0800186556635392,1.1022411933005851,1.151700023404835,1.0293476677504572,1.0731039579021546,1.0012929422027927,1.0595906166003919,1.0759166714079833,1.1303717505180004,1.0350222445840758,1.0891671841947639,1.0,1.0410036966910108,1.0,1.015588917660724,1.0494230279580385,1.100112365096991,1.0095962499753368,1.043704619328213,1.0590142329897942,1.124990039734574
Shadow Weavile,Ice Shard or Snarl,Avalanche,50,0.9749229802985712,0.9544803667683142,0.9141800202655579,0.9168347907309399,0.9873221718152192,1.007912418914311,0.9496269374523503,0.952962357863918,1.0336658683129816,1.0388369686048595,1.0374941660700017,0.9639033227203125,0.9863941196309146,0.9823895814508771,1.0538293578257587,0.9978613119509483,1.0315396815821491,0.9854912371830222,1.049618236402372,1.028007633540459,1.0857074529788806,1.0111149411962506,1.0483311218009734,1.0540555336138713,1.0152288596454284,1.0182311109749762,0.9263754679851057,0.9509776242775088,0.9407108548189898,0.9753168851984187,0.970244987938603,1.0118472030003953,0.9904714431199517,0.9902339677801287,1.012030054975335,1.0637427197775136,0.9689747104240385,1.002139048235486,1.0042923691882306,1.0089221490898526,1.0249976045163007,1.0217255729188752,1.0429269479830172,1.0463735211476393,0.9948748693725485,1.0044986496205126,0.9241903543504418,0.9458420435930981
Shadow Mewtwo,Psycho Cut or Confusion,Ice Beam,50,0.9874182151774016,1.0179745838164151,1.0900416859945223,1.1340044341334914,1.154745262413664,1.1885638286362343,1.137907294607106,1.1714662301355898,1.0570843408040824,1.085541852878339,0.9653218736713528,0.9915213550690216,1.0294874938477268,1.0513296205573293,1.004339510546453,1.0399231224010634,1.1140831806978329,1.1618658775709363,1.039317078854281,1.08172163404505,0.9712621290649976,1.0190532746076357,1.0260185124674546,1.0699168141810844,1.0088049447569165,1.0569149414769181,1.13814198434932,1.1895828150834602,1.1374788516720724,1.147908419474943,1.035112712665981,1.0819327059594332,0.9962434863637972,1.0757092835169535,0.9295600555406104,0.9781890233090486,1.0526657131757857,1.11118319866569,1.0357755537522917,1.0642236447970828,0.987640475498243,1.0423930331602884,1.0586367558550558,1.1331191059525292,0.9979621598364244,1.0907761240768388,1.123286311088557,1.1816027196206396
Rampardos,Smack Down,Rock Slide,30,1.1856361933724104,1.158036467450058,1.2886371067784133,1.2063167361519596,1.1749870110287244,1.1858828047431327,1.3472246552362415,1.2926848875116417,1.2496459428525188,1.2455416945562714,1.3149766504309144,1.16174666133015,1.3807409205259762,1.179277625560051,1.253107806157861,1.1775397402244878,1.219511808409037,1.1613795437644374,1.265769227997982,1.2012159105932718,1.3097420220136915,1.1853049357684484,1.1862368811616275,1.1984321324759977,1.2122586425401736,1.1997087725276534,1.2494313283860663,1.2344387567452397,1.289933772152653,1.2760025814361413,1.1533971405879435,1.207310358212327,1.1868689121070273,1.1840920501084258,1.2202153901845727,1.2665887617725047,1.2013540351362322,1.2090219385231789,1.1633173243570862,1.1649591761087568,1.1541172917844398,1.1528599732596079,1.197802436382585,1.213586814228191,1.1062397374447361,1.1542337947827017,1.2006968697410256,1.2313686120732736
Kyurem (White),Steel Wing,Blizzard,50,1.153475726216334,1.1699823941647198,1.210467149760732,1.2333254597093675,1.1559302939254437,1.212026568795537,1.1835167963227302,1.2409922656305359,1.3735889388664464,1.4505478508973026,1.2995769794853402,1.300401750617554,1.1644127608554926,1.1836341289264967,1.1668123160216912,1.1860633449194544,1.1498671523954476,1.179791362263166,1.405717860729722,1.4420501240559243,0.9688656047009219,0.9546317884953625,1.1589265875440056,1.1765657128190266,0.9877743488820566,1.0144297110410867,1.2258847559932138,1.2668642551983957,1.284936991190178,1.3850816274322144,1.1954109882608885,1.2713443401179105,1.1658161210755413,1.2664036749591097,1.2687663609944502,1.3823290856661072,1.177080401416775,1.299527846321782,1.1883941934902174,1.27279075125978,0.9404427697273646,0.9627464214753415,1.001091617389718,1.0665600781169235,1.1715053140002973,1.3047618487189596,1.2492530994326412,1.3405427233880984
Kyurem (White),Dragon Breath,Blizzard,50,1.1114444541364559,1.117611540286371,1.1317070077204865,1.1533672280842062,1.116628320444584,1.1625836994275742,1.1064475814861474,1.151569811692238,1.141500787652286,1.1949542757073257,1.0754474295392824,1.079235156196984,1.106231503885437,1.1344719353731656,1.134299837085724,1.1516617325706584,1.1216314977746626,1.1485430538880281,1.163013634282544,1.1946465683837444,1.0802347390087004,1.0859720103519779,1.1124161204134382,1.1385147594923042,1.1517570325332436,1.1877370500691098,1.199551668908246,1.2474629777892803,1.2493396622323671,1.343465343480238,1.134135378100977,1.2304878250957074,1.0922426102265688,1.216016695532528,1.202398903623489,1.299842882897215,1.1662186515683413,1.2842341717246073,1.140854246185596,1.228680311363568,1.4187334790693291,1.4859051847638334,1.522207523285112,1.7034457179355489,1.1258767370696274,1.2250406867660735,1.1861453350523128,1.2603565646502926
Rhyperior,Smack Down,Rock Wrecker,50,1.015521600738243,1.0377592567114566,1.03001975003325,1.0753171111119286,1.0501083875840695,1.080827093957697,1.0957677664415446,1.1164717903040207,1.056927589391969,1.100132927710521,0.9483542546949576,0.9850099159498608,1.0485197710838356,1.0670078486931676,1.037427683074924,1.0531325529011142,1.0176342716390518,1.0340815898364242,1.011747848298157,1.0737732410413783,1.012564863003655,1.0243114099771753,1.0155334812739565,1.0617945709011594,1.0371730211847048,1.0946737358924978,1.0857235426566214,1.1490991042929755,1.135679335092717,1.2059886380917706,1.0810176180614364,1.1596964546588515,1.0536287812584912,1.1198701751295954,1.1393274990282605,1.2051660648416924,1.083295058746123,1.1615482946865672,1.0447482743766217,1.0983834740880993,1.010030692647376,1.0739159587006895,1.0962651846297031,1.1746398322790759,1.0512819287990536,1.0937848390350189,1.1039459725827399,1.1691074243543085
Shadow Omastar,Rock Throw,Rock Slide,45,1.1732321707751612,1.150866512436532,1.182989531948719,1.1729625521359894,1.1521216382708737,1.1594649341053145,1.2215531702345819,1.2288916898104514,1.359084061604373,1.2722285753489273,1.4150240489482309,1.182799877851009,1.3678046874360528,1.1829038634436762,1.2369204711707131,1.1485079142750123,1.2320277770808121,1.142574440836238,1.3161050846758973,1.2490715983176364,1.1466657402808176,1.1264274083281063,1.1468666801158143,1.1374682832163163,1.1845698256751116,1.1737314255740317,1.2244473748672242,1.2190846707367096,1.2438701816999738,1.283709808285932,1.1873438997934762,1.22097832043196,1.1419325374334148,1.1718343897410652,1.2197136207988943,1.2858507514572413,1.1543839573843726,1.210249492253799,1.1291567737605066,1.176299602280127,1.1306689385301312,1.1504750320315411,1.1853516964518946,1.2299656963117571,1.11934299338985,1.1614142114128787,1.195591816021688,1.2338875035296977
Aurorus,Rock Throw or Frost Breath,Meteor Beam,35,1.3862102204039672,1.3808481080699389,1.3974445107689468,1.4211265202600918,1.42365703375857,1.4448673348270937,1.4574342794253135,1.4772677201217341,1.4636699231170447,1.477717111386234,1.5780901825171834,1.345215969664949,1.3750713983979,1.3801213929944574,1.566272169113592,1.3810979729666448,1.5194989961023897,1.3689055994584665,1.4073671362197777,1.4179643233024566,1.4078880475496964,1.4226492127383683,1.3897998634248538,1.4276726629027996,1.4757551334525363,1.4570171861698937,1.4615769020783538,1.4908867745752805,1.5107382576888606,1.5656117475876352,1.4325269339515558,1.5170925236138344,1.3819447800210605,1.4357920875173777,1.475869644913138,1.5868070611920757,1.3899450932182897,1.4691170041272388,1.356950680732125,1.4099356635510272,1.3793903827830671,1.3828624870532598,1.430269647725143,1.5055119513761759,1.381644000344763,1.4574646326572032,1.4121131882727007,1.483405922401362
Shadow Glaceon,Frost Breath,Avalanche,30,1.2424380059537206,1.1589468524854118,1.3090670626033931,1.2104433164616026,1.1889560147080027,1.1823846088491736,1.2025858705878232,1.212314965253694,1.2113906821934541,1.2196158277335276,1.2391456587482177,1.142460415832836,1.3287883915784113,1.1699009028790799,1.322215334450041,1.1932455198574152,1.3193792544198455,1.1790831086286082,1.3057019365749463,1.2216013421643972,1.4133164638982059,1.2040865899506583,1.4485620304045448,1.2655491561607042,1.2523501761882336,1.207871884161182,1.2866271611376467,1.2388058503070987,1.2628901332679208,1.259109933085859,1.1269366262173852,1.1751529033229242,1.1974078682241436,1.182307673200814,1.2220760853333865,1.2455016322097243,1.2003016813233849,1.1836781101698706,1.1924689688335888,1.190223504543223,1.1902890253579226,1.1739128193870887,1.237668309456688,1.2202376906654446,1.1885605601960487,1.1781585939853623,1.2299348846500284,1.2249189500613404
Shadow Golem,Rock Throw,Stone Edge,40,1.254939852875268,1.2022460261411347,1.2283409842541166,1.2264636974555414,1.2424583675283234,1.2524078398036746,1.4178262918982032,1.3199543594034697,1.2331965941656307,1.2323648378750613,1.235291802676291,1.1143136943976268,1.4346361976561515,1.2297856381358965,1.3473441430147688,1.2430905128725076,1.2971220890038913,1.1915089640769614,1.183742013276757,1.180170165596129,1.1971634167669185,1.1798727575768508,1.2083027649363676,1.2010524431513059,1.2195929324333121,1.231840040738344,1.2822899400788033,1.269395788098848,1.3446623232609793,1.364198029365142,1.2342272670905894,1.257055215401983,1.238974144166725,1.2519729458759452,1.270292420466947,1.3308010099832792,1.2230359798094868,1.2773158713963684,1.195861709694547,1.2327044750999308,1.1836642536902746,1.1962581724649868,1.230277179742594,1.2711650815670976,1.1739645081017578,1.2363419444472328,1.248679002585446,1.2784148471663823
Mamoswine,Powder Snow,Avalanche,40,1.1828991043818602,1.1869589833797831,1.1898138344736964,1.2238902710763175,1.1904298671856333,1.226275236813831,1.2415456673566994,1.2648988762950113,1.1560245127795437,1.2131672819656965,1.2085778275114059,1.1022992608739608,1.210954670276712,1.2051281458148944,1.2338991635504446,1.2061875206947583,1.2217728068400635,1.1956362351250454,1.1648028814732934,1.1921162419732012,1.1507469561699215,1.1825527253017727,1.1789156198588977,1.2295257091820742,1.1909810895975557,1.2167321070989627,1.236470086950294,1.2670844555024712,1.2808098429703922,1.366440378555813,1.1733693462132653,1.2463122276017549,1.1617271043288253,1.1912800635876915,1.262921376451142,1.3275478223915718,1.1904048126420974,1.2652100001281619,1.2100381690860458,1.2195360201965557,1.1575620793407628,1.1814552545901333,1.1872092539986834,1.2784365692350697,1.1735105239832404,1.2110343086503554,1.204565675511627,1.276090185475748
Archeops,Steel Wing,Ancient Power,35,1.5597700263727259,1.4882629884042573,1.691405199400002,1.577050335979572,1.6079735542039282,1.5313893040120832,1.78115311753102,1.6324299859765252,2.2093838243348807,1.8540546972586784,2.4952032515821436,1.691140551203094,1.570196532282871,1.4670400083702946,1.6056155840688988,1.5097516029590554,1.6650432228503218,1.501999520606193,2.390527300653572,1.847758657062575,1.6899161108991338,1.3683384092624251,1.5337293254873658,1.5359532651594152,1.4224793628124772,1.3657384718271122,1.644066500834318,1.5872711666376884,1.6975916396512913,1.6636220728667421,1.4957122524031612,1.5790554775630166,1.4746620210318095,1.52113568159186,1.6091440202055576,1.6538639151932222,1.5420896116769616,1.5754039074453514,1.5153012953445735,1.5228110880694057,1.343178868952165,1.2875175502858296,1.4023201614552459,1.3802280040708903,1.4675313895299351,1.5266182313865184,1.5792288165809316,1.6171537068160526
Kyurem (Black),Ice Shard,Avalanche,30,1.0166539130535033,1.0220345899690058,1.062355785872729,1.0757226916892821,1.049659029538777,1.0562320298351147,1.0847366301431558,1.1044533578136935,1.0295445312856342,1.0661179341081146,1.0535962167973791,0.9816435479157809,1.0009931420763762,1.0186985805494333,1.0588517050875377,1.045643023840094,1.0322551421391961,1.0246257338382094,1.013871162025957,1.032731594656924,1.029094862166837,1.038292722061981,1.017447616991009,1.0522235134666693,1.052709141367925,1.0657204765058956,1.1041000790498734,1.1027473493671425,1.099075192253354,1.1463595526183017,1.0422433601528933,1.0832166760942956,0.9990568728976282,1.054529945602717,1.0973853526646475,1.1578716625964995,1.0483237564111736,1.1142393941114597,1.0356435147617187,1.0645662649395404,1.0248540277744913,1.0304745353640161,1.0633276573130113,1.1107817228844745,1.0004302614695142,1.0815219833149932,1.0646729489472595,1.1087143234308403
Kyurem (Black),Dragon Tail,Ice Beam,30,1.2068202881545171,1.2235902934195682,1.2072899119292244,1.2434153387071896,1.2138892818038465,1.2333461571664386,1.234077860699672,1.281256002678453,1.2075084617490743,1.2729359985554995,1.23795394438297,1.169588536552601,1.1762754823328778,1.216324422931902,1.2244447730452306,1.2409021065611676,1.208868625276866,1.2241997246421763,1.202076295300967,1.2447438699404854,1.1637097300455335,1.2110572084206936,1.1901112774890632,1.2578482879329893,1.2403721840832023,1.268202666242947,1.2804856028425227,1.298044355681885,1.297647851594677,1.358573861260142,1.229343291031683,1.2933539967510599,1.186153569393606,1.2587120707473285,1.2867145917100429,1.363010292247386,1.2163454173067336,1.304523785455555,1.2074111141165509,1.2359093960067722,1.4389815832401887,1.5219637156259802,1.5431358789451752,1.6833604380933431,1.1690049975636978,1.2743636278253287,1.2409405648471112,1.3177183299361328
Kyurem (Black),Dragon Tail,Blizzard,30,1.3384437641952294,1.306081672121178,1.3218351826850876,1.318235732778356,1.2810627062661166,1.2937105134703777,1.333318538219862,1.3353592608203688,1.2815111489520397,1.3408999554059509,1.4499463809322009,1.2443033491259146,1.292290598211514,1.277335933154373,1.3467743899250784,1.3148206928799113,1.3487308609496376,1.3052449312646441,1.2717694115362936,1.3126500290248582,1.2699477871533824,1.2887898611419266,1.3286412856627352,1.3402481841283012,1.341423091698286,1.3247090596870346,1.3808203004549715,1.3744127436935054,1.3408187947831447,1.438082782262088,1.2944352673346247,1.3786286148547162,1.2751370093462164,1.3383236085111763,1.3554880784889507,1.4212067764553034,1.28696468306783,1.35407485794607,1.2417633917390476,1.293798234804997,1.7506363552662805,1.7986289633541361,1.8097178329215482,1.9237048643479158,1.2367232144927847,1.2902951865983647,1.290074618452984,1.3649375890686406
Kyurem (Black),Shadow Claw,Ice Beam,30,1.2469610670209366,1.2808197271481236,1.103894687490269,1.12970242001765,1.4082542663161637,1.4558113261096204,1.137738350890082,1.1656289667830717,1.2513447637677686,1.3209421394412815,1.2881833892144197,1.1970897171876926,1.2162506371732416,1.256699290173884,1.2608864932071957,1.2778563690244629,1.3681210592147444,1.3974941797427824,1.2382595943311798,1.2878938610121227,1.202743074562033,1.2559782980039966,1.3904573562575,1.4905824712145623,1.2688776981814516,1.3044837065767156,1.171589674190694,1.1844286666889665,1.1812100265991772,1.2575945275663882,1.5550209916716347,1.7099902142757513,1.4368289251738162,1.598939791157186,1.3489919408666684,1.4698928793895616,1.4848280452953153,1.647357075884345,1.4456573598212763,1.5616279465833156,1.2333258520835084,1.2712426691756185,1.3121855589019518,1.3935467114866715,1.4409429383754577,1.6044511350929862,1.1484512842959018,1.2090225500409242
